experiment,node,x,y,lenght_optroute
demo_session,1,0.0,0.0,151.5407907665297
demo_session,2,20.0,17.5,151.5407907665297
demo_session,3,26.8,34.8,151.5407907665297
demo_session,4,0.0,50.0,151.5407907665297
demo_session,5,-26.8,34.8,151.5407907665297
demo_session,6,-20.0,17.5,151.5407907665297
demo_session,hive,-0.5,0.05,151.5407907665297
C1_S1,1,0.0,0.0,172.33967726228096
C1_S1,2,18.0,4.5,172.33967726228096
C1_S1,3,26.8,17.5,172.33967726228096
C1_S1,4,26.8,34.8,172.33967726228096
C1_S1,5,18.0,47.6,172.33967726228096
C1_S1,6,0.0,54.0,172.33967726228096
C1_S1,7,-18.0,47.6,172.33967726228096
C1_S1,8,-27.2,34.8,172.33967726228096
C1_S1,9,-27.2,17.5,172.33967726228096
C1_S1,10,-18.0,4.5,172.33967726228096
C1_S1,hive,-0.5,0.05,172.33967726228096
C1_S2,1,0.0,0.0,345.1763316669443
C1_S2,2,36.0,9.0,345.1763316669443
C1_S2,3,53.6,35.0,345.1763316669443
C1_S2,4,53.6,69.6,345.1763316669443
C1_S2,5,36.0,95.2,345.1763316669443
C1_S2,6,0.0,108.0,345.1763316669443
C1_S2,7,-36.0,95.2,345.1763316669443
C1_S2,8,-54.4,69.6,345.1763316669443
C1_S2,9,-54.4,35.0,345.1763316669443
C1_S2,10,-36.0,9.0,345.1763316669443
C1_S2,hive,-0.5,0.05,345.1763316669443
C1_S3,1,0.0,0.0,518.0130360466358
C1_S3,2,54.0,13.5,518.0130360466358
C1_S3,3,80.4,52.5,518.0130360466358
C1_S3,4,80.4,104.4,518.0130360466358
C1_S3,5,54.0,142.8,518.0130360466358
C1_S3,6,0.0,162.0,518.0130360466358
C1_S3,7,-54.0,142.8,518.0130360466358
C1_S3,8,-81.6,104.4,518.0130360466358
C1_S3,9,-81.6,52.5,518.0130360466358
C1_S3,10,-54.0,13.5,518.0130360466358
C1_S3,hive,-0.5,0.05,518.0130360466358
C2_S1,1,0.0,0.0,174.07931106960197
C2_S1,2,21.98,15.99,174.07931106960197
C2_S1,3,15.7,25.42,174.07931106960197
C2_S1,4,22.13,25.42,174.07931106960197
C2_S1,5,28.49,31.78,174.07931106960197
C2_S1,6,15.77,31.78,174.07931106960197
C2_S1,7,-8.04,54.64,174.07931106960197
C2_S1,8,-18.99,44.42,174.07931106960197
C2_S1,9,-28.49,23.77,174.07931106960197
C2_S1,10,-12.63,11.1,174.07931106960197
C2_S1,hive,-0.5,0.05,174.07931106960197
C2_S2,1,0.0,0.0,348.5731139484706
C2_S2,2,43.96,31.99,348.5731139484706
C2_S2,3,31.4,50.85,348.5731139484706
C2_S2,4,44.26,50.85,348.5731139484706
C2_S2,5,56.98,63.56,348.5731139484706
C2_S2,6,31.55,63.56,348.5731139484706
C2_S2,7,-16.08,109.29,348.5731139484706
C2_S2,8,-37.98,88.84,348.5731139484706
C2_S2,9,-56.98,47.54,348.5731139484706
C2_S2,10,-25.27,22.21,348.5731139484706
C2_S2,hive,-0.5,0.05,348.5731139484706
C2_S3,1,0.0,0.0,523.0622893750221
C2_S3,2,65.94,47.98,523.0622893750221
C2_S3,3,47.1,76.28,523.0622893750221
C2_S3,4,66.4,76.28,523.0622893750221
C2_S3,5,85.47,95.35,523.0622893750221
C2_S3,6,47.33,95.35,523.0622893750221
C2_S3,7,-24.12,163.93,523.0622893750221
C2_S3,8,-56.98,133.26,523.0622893750221
C2_S3,9,-85.47,71.31,523.0622893750221
C2_S3,10,-37.91,33.31,523.0622893750221
C2_S3,hive,-0.5,0.05,523.0622893750221
C3_S1,1,0.0,0.0,161.83715672168373
C3_S1,2,20.6,22.25,161.83715672168373
C3_S1,3,28.62,26.96,161.83715672168373
C3_S1,4,20.67,34.83,161.83715672168373
C3_S1,5,17.53,44.34,161.83715672168373
C3_S1,6,12.81,55.43,161.83715672168373
C3_S1,7,7.94,44.34,161.83715672168373
C3_S1,8,-1.57,44.34,161.83715672168373
C3_S1,9,-25.47,28.38,161.83715672168373
C3_S1,10,-11.0,6.36,161.83715672168373
C3_S1,hive,-0.5,0.05,161.83715672168373
C3_S2,1,0.0,0.0,324.23801137807607
C3_S2,2,41.2,44.5,324.23801137807607
C3_S2,3,57.24,53.93,324.23801137807607
C3_S2,4,41.35,69.66,324.23801137807607
C3_S2,5,35.06,88.69,324.23801137807607
C3_S2,6,25.63,110.86,324.23801137807607
C3_S2,7,15.88,88.69,324.23801137807607
C3_S2,8,-3.14,88.69,324.23801137807607
C3_S2,9,-50.95,56.77,324.23801137807607
C3_S2,10,-22.33,12.73,324.23801137807607
C3_S2,hive,-0.5,0.05,324.23801137807607
C3_S3,1,0.0,0.0,486.58875456078886
C3_S3,2,61.8,66.75,486.58875456078886
C3_S3,3,85.86,80.9,486.58875456078886
C3_S3,4,62.03,104.49,486.58875456078886
C3_S3,5,52.6,133.04,486.58875456078886
C3_S3,6,38.44,166.3,486.58875456078886
