,Configuration,Scale,trial,session_num,user,visits,perc_error,duration,Session,accuracy,age,gender,gaming_habits,route_planning,route_optimizations,GPS_usage,transitions_lenght,transitions_error
0,C1,S1,1,10,Abd,1-10-9-8-7-6-5-4-3-2-1,1.04253971939505,27.713300000000004,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
1,C1,S1,2,10,Abd,1-10-9-8-7-6-5-4-3-2-1,1.3915929871863764,25.996700000000036,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
2,C1,S1,3,10,Abd,1-10-9-8-7-6-5-4-3-2-1,0.8123055344459803,26.16330000000005,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
3,C1,S1,4,10,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,26.096599999999967,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
4,C1,S1,5,10,Abd,1-2-3-4-5-6-7-8-9-10-1,0.3468616894936325,26.246600000000058,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.8367286977851,1.6444253281431282e-14
5,C1,S1,6,10,Abd,1-10-9-8-7-6-5-4-3-2-1,1.4659289537701312,26.63029999999992,C1_S1,100.0,25,male,4.0,3.0,4.0,4.0,172.83672869778508,0.0
6,C1,S2,1,8,Abd,1-10-9-8-7-6-5-4-3-2-1,0.5333122693884246,54.00967,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
7,C1,S2,2,8,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,52.82654,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
8,C1,S2,3,8,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2989078713766412,54.4618,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
9,C1,S2,4,8,Abd,1-10-9-8-7-6-5-4-3-2-1,0.5390834793867345,54.493,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
10,C1,S2,5,8,Abd,1-2-3-4-5-6-7-8-9-10-1,4.076514585567382,52.67849999999999,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.6734573955702,1.6444253281431282e-14
11,C1,S2,6,8,Abd,1-10-9-8-7-6-5-4-3-2-1,4.378308061943161,57.19470000000001,C1_S2,100.0,25,male,4.0,3.0,4.0,4.0,345.67345739557015,0.0
12,C1,S3,1,9,Abd,1-10-9-8-7-6-5-4-3-2-1,0.5162856558570613,80.6603,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
13,C1,S3,2,9,Abd,1-10-9-8-7-6-5-4-3-2-1,1.400013323500785,82.05610000000001,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
14,C1,S3,3,9,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2970288593224086,97.37079999999996,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
15,C1,S3,4,9,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1384830729570128,78.32320000000004,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
16,C1,S3,5,9,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1552342767198175,77.74000000000001,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
17,C1,S3,6,9,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,78.88990000000001,C1_S3,100.0,25,male,4.0,3.0,4.0,4.0,518.5101860933553,0.0
18,C2,S1,1,5,Abd,1-2-5-4-3-6-7-8-9-10-1,2.4620082040822755,43.34450000000004,C2_S1,80.0,25,male,4.0,3.0,4.0,4.0,173.87526226247925,0.0
19,C2,S1,2,5,Abd,1-10-9-8-7-6-3-5-4-2-1,2.0737427177619834,33.42009999999999,C2_S1,70.0,25,male,4.0,3.0,4.0,4.0,174.0811416276921,0.11840635783027323
20,C2,S1,3,5,Abd,1-2-4-5-3-6-7-8-9-10-1,0.2748355507017451,39.14700000000005,C2_S1,70.0,25,male,4.0,3.0,4.0,4.0,174.08114162769206,0.1184063578302569
21,C2,S1,4,5,Abd,1-2-4-5-3-6-7-8-9-10-1,1.4502396975844682,31.462599999999952,C2_S1,70.0,25,male,4.0,3.0,4.0,4.0,174.08114162769206,0.1184063578302569
22,C2,S1,5,5,Abd,1-2-4-3-6-5-7-8-9-10-1,3.7685619470893377,32.262500000000045,C2_S1,70.0,25,male,4.0,3.0,4.0,4.0,180.03835778534702,3.5445499507365543
23,C2,S1,6,5,Abd,1-2-4-5-3-6-7-8-9-10-1,0.0,34.26220000000001,C2_S1,70.0,25,male,4.0,3.0,4.0,4.0,174.08114162769206,0.1184063578302569
24,C2,S2,1,4,Abd,1-10-9-8-7-6-3-4-5-2-1,1.531085611188708,69.59109,C2_S2,80.0,25,male,4.0,3.0,4.0,4.0,347.7512296743647,0.0
25,C2,S2,2,4,Abd,1-2-3-4-5-6-7-8-9-10-1,0.0,63.82513999999999,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.98039496722794,0.3534610917161164
26,C2,S2,3,4,Abd,1-2-3-6-4-5-7-8-9-10-1,4.581254159685791,73.42590000000001,C2_S2,70.0,25,male,4.0,3.0,4.0,4.0,361.5384023570869,3.9646654005026956
27,C2,S2,4,4,Abd,1-10-9-8-7-6-5-4-3-2-1,2.85996559233488,64.15839999999997,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.980394967228,0.35346109171613277
28,C2,S2,5,4,Abd,1-2-3-4-5-6-7-8-9-10-1,0.5760991426703327,59.15909999999997,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.98039496722794,0.3534610917161164
29,C2,S2,6,4,Abd,1-2-3-4-5-6-7-8-9-10-1,0.4980671606550683,62.3254,C2_S2,100.0,25,male,4.0,3.0,4.0,4.0,348.98039496722794,0.3534610917161164
30,C2,S3,1,6,Abd,1-10-9-8-7-6-5-3-4-2-1,3.0211641778736538,91.92360000000008,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
31,C2,S3,2,6,Abd,1-2-4-3-6-5-7-8-9-10-1,4.918911207011865,99.53719999999998,C2_S3,70.0,25,male,4.0,3.0,4.0,4.0,540.1210594506254,1.2116922246471469
32,C2,S3,3,6,Abd,1-10-9-8-7-6-5-3-4-2-1,2.988913338354873,90.88839999999992,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
33,C2,S3,4,6,Abd,1-10-9-8-7-6-5-3-4-2-1,2.5470807085970173,86.822,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,533.6548056639396,0.0
34,C2,S3,5,6,Abd,1-10-9-8-7-6-3-4-5-2-1,0.3421376576559962,81.72299999999996,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,521.64189924275,0.0
35,C2,S3,6,6,Abd,1-10-9-8-7-6-3-4-5-2-1,0.0,85.11999999999989,C2_S3,80.0,25,male,4.0,3.0,4.0,4.0,521.64189924275,0.0
36,C3,S1,1,11,Abd,1-10-9-8-6-7-5-4-3-2-1,5.669907670088207,31.062999999999988,C3_S1,80.0,25,male,4.0,3.0,4.0,4.0,168.48027569921615,0.0
37,C3,S1,2,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3978181255480413,29.11500000000001,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
38,C3,S1,3,11,Abd,1-10-9-8-7-6-5-4-3-2-1,1.1514803734461223,38.16200000000004,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
39,C3,S1,4,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.6709392892144115,110.15200000000004,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
40,C3,S1,5,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.6995022437716025,28.712999999999965,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
41,C3,S1,6,11,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,27.39599999999996,C3_S1,100.0,25,male,4.0,3.0,4.0,4.0,162.29329169471842,0.0
42,C3,S2,1,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3864369726320358,53.559999999999945,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
43,C3,S2,2,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2953998304197703,50.276999999999816,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
44,C3,S2,3,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1866575336531218,49.6099999999999,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
45,C3,S2,4,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.034154624388591,51.29299999999989,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
46,C3,S2,5,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.0,92.70500000000015,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
47,C3,S2,6,13,Abd,1-10-9-8-7-6-5-4-3-2-1,0.3770821214667689,50.39399999999978,C3_S2,100.0,25,male,4.0,3.0,4.0,4.0,324.696321257674,0.0
48,C3,S3,1,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.2352620847475656,77.63300000000004,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
49,C3,S3,2,12,Abd,1-10-9-8-7-6-5-4-3-2-1,0.1799539826614058,79.24000000000001,C3_S3,100.0,25,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
