,node,x,y,scale,cond,optimal
0,1,-0.0,0.0,S1,C1,121.0
1,2,-12.666666666666666,6.333333333333334,S1,C1,121.0
2,3,-17.33333333333333,14.000000000000002,S1,C1,121.0
3,4,-16.666666666666664,23.666666666666664,S1,C1,121.0
4,5,-4.9999999999999964,30.333333333333332,S1,C1,121.0
5,6,-1.999999999999995,40.666666666666664,S1,C1,121.0
6,7,8.000000000000004,38.666666666666664,S1,C1,121.0
7,8,3.3333333333333366,28.333333333333332,S1,C1,121.0
8,9,15.000000000000002,20.999999999999996,S1,C1,121.0
9,10,13.0,7.666666666666665,S1,C1,121.0
10,1,-0.0,0.0,S1,C1,121.0
11,1,-0.0,0.0,S2,C1,181.0
12,2,-19.0,9.500000000000002,S2,C1,181.0
13,3,-25.999999999999996,21.000000000000004,S2,C1,181.0
14,4,-24.999999999999996,35.5,S2,C1,181.0
15,5,-7.499999999999995,45.5,S2,C1,181.0
16,6,-2.9999999999999925,61.0,S2,C1,181.0
17,7,12.000000000000007,58.0,S2,C1,181.0
18,8,5.000000000000005,42.5,S2,C1,181.0
19,9,22.500000000000004,31.499999999999996,S2,C1,181.0
20,10,19.5,11.499999999999998,S2,C1,181.0
21,1,-0.0,0.0,S2,C1,181.0
22,1,-0.0,0.0,S3,C1,363.0
23,2,-38.0,19.000000000000004,S3,C1,363.0
24,3,-51.99999999999999,42.00000000000001,S3,C1,363.0
25,4,-49.99999999999999,71.0,S3,C1,363.0
26,5,-14.99999999999999,91.0,S3,C1,363.0
27,6,-5.999999999999985,122.0,S3,C1,363.0
28,7,24.000000000000014,116.0,S3,C1,363.0
29,8,10.00000000000001,85.0,S3,C1,363.0
30,9,45.00000000000001,62.99999999999999,S3,C1,363.0
31,10,39.0,22.999999999999996,S3,C1,363.0
32,1,-0.0,0.0,S3,C1,363.0
33,1,-0.0,0.0,S4,C1,725.0
34,2,-76.0,38.00000000000001,S4,C1,725.0
35,3,-103.99999999999999,84.00000000000001,S4,C1,725.0
36,4,-99.99999999999999,142.0,S4,C1,725.0
37,5,-29.99999999999998,182.0,S4,C1,725.0
38,6,-11.99999999999997,244.0,S4,C1,725.0
39,7,48.00000000000003,232.0,S4,C1,725.0
40,8,20.00000000000002,170.0,S4,C1,725.0
41,9,90.00000000000001,125.99999999999999,S4,C1,725.0
42,10,78.0,45.99999999999999,S4,C1,725.0
43,1,-0.0,0.0,S4,C1,725.0
44,1,-0.0,0.0,S5,C1,1088.0
45,2,-114.0,57.000000000000014,S5,C1,1088.0
46,3,-155.99999999999997,126.00000000000003,S5,C1,1088.0
47,4,-149.99999999999997,213.0,S5,C1,1088.0
48,5,-44.99999999999997,273.0,S5,C1,1088.0
49,6,-17.999999999999954,366.0,S5,C1,1088.0
50,7,72.00000000000004,348.0,S5,C1,1088.0
51,8,30.000000000000032,255.0,S5,C1,1088.0
52,9,135.00000000000003,188.99999999999997,S5,C1,1088.0
53,10,117.0,68.99999999999999,S5,C1,1088.0
54,1,-0.0,0.0,S5,C1,1088.0
55,1,0.0,0.0,S1,C2,139.0
56,2,-13.523333333333333,7.143333333333333,S1,C2,139.0
57,3,0.0,20.0,S1,C2,139.0
58,4,-8.0,30.666666666666664,S1,C2,139.0
59,5,14.379999999999999,41.0,S1,C2,139.0
60,6,11.0,26.666666666666664,S1,C2,139.0
61,7,7.666666666666666,20.0,S1,C2,139.0
62,8,9.666666666666666,14.953333333333333,S1,C2,139.0
63,9,15.599999999999998,14.0,S1,C2,139.0
