,ppid,cond,scale,trial_num,experiment,session_num,block_num,trial_num_in_block,start_time,end_time,session_name,n_rounds,fatigue_factor,time_taken,visit_order,player_movement_location_0,distance_travelled_in_units,visit_nb,Node_name,X,Y,Z,lenght_sequence,th_seq_lenght,opt_found,error_seq,visits,experiment_new,opt_found_traj,error_traj,TSP_correct,mouse,difficulty,self_assessment,best_estimated_scale,daily_optimisation,most_strat,Age,Gender,gaming_habits,navigation_rating,GPS_uage
0,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,0,Node_1,0.0,0.2,0.0,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
1,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,1,Node_2,-11.74522,1.25,6.177171,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
2,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,2,Node_3,-16.62279,1.25,13.31091,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
3,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,3,Node_4,-16.63581,1.25,22.74882,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
4,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,4,Node_5,-5.919456,1.25,30.5144,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
5,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,5,Node_6,-2.276126,1.25,39.77396,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
6,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,6,Node_7,7.013781,1.25,38.7896,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
7,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,7,Node_8,4.088175,1.25,28.90586,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
8,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,8,Node_9,14.22126,1.25,21.6117,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
9,Aigle,C1,S1,1,a_expA,4,1,1,770.3265,802.8318,C1_S1,3,0.09,00:00:32.5060000,Node_1| 'X':0|'Y':0.2|'Z':0-->Node_2| 'X':-11.74522|'Y':1.25|'Z':6.177171-->Node_3| 'X':-16.62279|'Y':1.25|'Z':13.31091-->Node_4| 'X':-16.63581|'Y':1.25|'Z':22.74882-->Node_5| 'X':-5.919456|'Y':1.25|'Z':30.5144-->Node_6| 'X':-2.276126|'Y':1.25|'Z':39.77396-->Node_7| 'X':7.013781|'Y':1.25|'Z':38.7896-->Node_8| 'X':4.088175|'Y':1.25|'Z':28.90586-->Node_9| 'X':14.22126|'Y':1.25|'Z':21.6117-->Node_10| 'X':13.60032|'Y':1.25|'Z':8.379079-->hive| 'X':-0.5|'Y':0|'Z':0.05,a_expA/Aigle/S004/trackers/player_movement_T001.csv,123.3131,9,Node_10,13.60032,1.25,8.379079,116.0,121.0,114.0,1.75,1-2-3-4-5-6-7-8-9-10-1,a,113.0,7.96,1,oui,3.0,3.0,small,4.0,"A,G,C",26.0,female,4.0,2.0,4.0
